epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7590850591659546,1.4264352321624756,0.001,0.8586666584014893,0.3501821756362915
1,0.8061850070953369,0.5159270167350769,0.001,0.8790000081062317,0.343149334192276
2,0.8163745403289795,0.5086730718612671,0.001,0.8709999918937683,0.3584916591644287
3,0.8252814412117004,0.4805576503276825,0.001,0.890333354473114,0.31759291887283325
4,0.822573721408844,0.48393744230270386,0.001,0.8759999871253967,0.3339143395423889
5,0.8285592198371887,0.4611058235168457,0.001,0.8276666402816772,0.38352108001708984
6,0.853356122970581,0.39957335591316223,0.00025,0.8986666798591614,0.28802362084388733
7,0.8579164743423462,0.3846680521965027,0.00025,0.8960000276565552,0.2899008095264435
8,0.8623343110084534,0.3736830949783325,0.00025,0.8973333239555359,0.2803955376148224
9,0.8658258318901062,0.36639919877052307,6.25e-05,0.8946666717529297,0.2843785881996155
10,0.8718113303184509,0.3506825864315033,6.25e-05,0.9013333320617676,0.27062469720840454
11,0.869602382183075,0.35081982612609863,6.25e-05,0.9016666412353516,0.2715134620666504
12,0.8673222064971924,0.35643184185028076,6.25e-05,0.9020000100135803,0.272238165140152
13,0.8742340207099915,0.34441670775413513,6.25e-05,0.8920000195503235,0.2776464819908142
14,0.8668946623802185,0.3476826846599579,6.25e-05,0.9013333320617676,0.2697272002696991
